VAD 360,"Web Design","Investigation of the processes of web design, including concept, information architecture, navigation, interface, and standard languages and technologies for the delivery of content and information. Organization, aesthetics, and user experience are discussed and explored.",VAD 220,VAD 240,VAD 245,VAD 320
MPA 597,"Public Service Project","For students seeking experience with public or nonprofit organizations. Completion of an applied written project for an organization that relates theories and information from the field of public administration. Prior approval of formal project proposal required.",
IET 346,"Six Sigma Yellow Belt","This course is designed to facilitate skill acquisition along with clinical reasoning and decision making as it relates to the physical therapy care and management of various advanced topics including cardiopulmonary rehabilitation, women's health issues, manual therapy strategies, electrotherapeutics as well as orthopedic, neurological, and pediatric therapeutic interventions.",
MTH 535,"Partial Differential Equations","Classification of partial differential equations; methods of solution for the wave equation, Laplace's equation, and the heat equation; applications.",MTH 403
SET 398,"Research & Innovation Laboratory","Students participate in 1) selection and design, 2) investigation and data collection, 3) analysis and 4) presentation of a research project. Research can include, but is not limited to, developing an experiment, collecting and analyzing data, surveying and evaluating literature, developing new tools and techniques including software, and surveying, brainstorming and evaluating engineering solutions and engineering designs. Proposals from teams of students will be considered.",
MTH 531,"Advanced Differential Equations","Existence and uniqueness theorems, linear equations and systems, self-adjoin systems, boundary value problems and basic nonlinear techniques.",MTH 403
MTH 532,"Difference Equations & Applications","The calculus of finite differences, first order equations, linear equations and systems, z-transform, stability, boundary value problems for nonlinear equations, Green's function, control theory and applications.",
EDT 552L,"Foreign Language Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching foreign language to students in grades seven to 12.",
ACC 701,"Contemporary Issues in Accounting – Professional Speakers Forum","Subject matter experts, including but not limited to practicing accountants, standard setters and regulators, introduce students to emerging or controversial accounting issues.",
ENG 230,"Topics in Literature","Exploration of varying approaches to the study of literature. Can be repeated under special circumstances.",ENG 100,ENG 100B,ENG 200H,ASI 110
ACC 702,"Accounting and Business Ethics","Accounting and Business Ethics is designed to enable students to: (1) develop methodologies for solving ethical dilemmas, (2) recognize the importance and role of effective organizational cultures in promoting sound ethical behavior and (3) understand the regulatory process and its impact on preventing misleading and fraudulent financial reporting.",
ACC 707,"Critical Thinking: Role and Purpose for Accounting Professionals","Critical thinking describes the process we use to discover our assumptions, research and validate those assumptions, and then make and communicate informed decisions based upon those researched assumptions. This class will explore such topics as: what is critical thinking, the importance of critical thinking across the disciplines, the basic protocols of critical thinking and reading and writing critically. An important focus of this course will be to demonstrate the importance and role that critical thinking plays in the work of professional accountants.",
MBA 590,"Coaching for Success","This course will provide additional English language and academic support for non-native speakers of English students who are admitted into the MBA program.",
ECE 522,"Digital Communications II","Fundamentals of source coding and compression, Shannon's Theorem, Huffman coding; sysem synchronization; equalization techniques; multiplexing and multiple access systems; spread-spectrum systems and their applications; pseudo-noise, direct sequence systems, frequency hopping, jamming; encryption and decryption systems.",ECE 521
ECE 523,"Satellite Communications","Topics related to the theory, design and orbital placement of geostationary and geosynchronous satellites and their communications applications, including transmitters and receivers in the RF, microwave and optical operational windows, the associated modulation and communication strategies, system hardware and international satellite networks.",ECE 507
ECE 521,"Digital Communications I","Fundamentals of digital transmission of information over noisy channels; modulation schemes for binary and M-ary digital transmission; optimum receivers; coherent and noncoherent detection; signal design; intersymbol interference; error control coding; the Viberti algorithm; channel capacity and Shannon limits on reliable transmission.",
MTH 547,"Statistics for Experimenters","Covers those areas of design of experiments and analysis of quantitive data that are useful to anyone engaged in experimental work. Designed experiments using replication and blocking. Use of transformations. Applications of full and fractional factorial designs. Experimental design for developing quality into products using Taguchi methods.",MTH 367
ACC 709,"Accounting Theory and Research","Accounting Theory and Research requires students to complete integrated learning assignments addressing real world challenges in areas including financial reporting, audit, and tax. By incorporating significant real world experiences and requiring in depth research, this culminating integrated learning experience develops skills for approaching judgmental tasks after graduation.",
ACC 708,"Business Law for Accountants","Business Law for Accountants is designed to introduce students to legal concepts applicable to business and accounting transactions. The primary objectives of the course include: (1) Develop an understanding of the components of the Uniform Commercial Code including Contracts, Agency, Sales, Secured Transactions, Negotiable Instruments, and Debtor/Creditor Rights and (2) Analyze business law cases and communicate case outcomes.",
MTH 543,"Linear Models","Least square techniques, lack of fit and pure error, correlation, matrix methods, F test, weighted least squares, examination of residuals, multiple regression, transformations and dummy variables, model building, ridge regression, stepwise regression, multiple regression applied to analysis of variance problems.",MTH 368
MTH 544,"Time Series","Estimation and elimination of trend and seasonal components; stationary time series, autocovariance, autocorrelation and partial autocorrelation functions; spectral analysis; modeling and forecasting with ARMA processes; nonstationary and seasonal time series.",
MPA 571,"Administrative Law","Study of the judicial function and activities of federal agencies; formal and informal processes in administrative hearings; basic principles of administrative law; judicial interpretation; the question of increased judicialization of the administrative process.",
MTH 545,"Special Functions","The special functions arising from solutions of boundary value problems which are encountered in engineering and the physical sciences. Hypergeometric functions, Bessel functions, Legendre polynomials.",MTH 403
MTH 540,"Mathematical Modeling","An introduction to the use of mathematical techniques and results in constructing and modifying models designed to describe and/or predict behavior of real-world situations.",
MTH 541,"Mathematics Clinic","Student teams will be responsible for developing or modifying and testing a mathematical model designed for a particular purpose. Faculty guidance will be provided. May be repeated once for a maximum of 6 credit hours.",
EDT 553L,"Integrated Mathematics Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching mathematics to students in grades seven to 12.",
ENG 242,"Sophomore Honors","Seminar in which selected works from the literature of Western civilization are studied.",ENG 100,ENG 100B,ENG 200H,ASI 110
ECE 518,"Electromagnetic Fields II","Classification and construction of solutions. Plane cylindrical and spherical wave functions. Integral equations, mathematical theory of diffraction. Green's function.",ECE 507
ECE 515,"Engineering Magnetic Materials & Their Function in Green Energy","Magnetic fundamentals including spontaneous magnetization; advanced magnetic materials, computer modeling of magnetic circuits using 2D/3D finite element analysis. Applications of magnetic materials in electric machines.",MAT 501
ECE 511,"Antennas","Fundamental principles of antennas; analysis and synthesis of arrays; resonant antennas; broadband and frequency independent antennas; aperture and reflector antennas; applications to radar and communication systems.",ECE 507
GER 202,"Intermediate German II","Systematic grammar review. Increased use of the language in written exercises and classroom discussions based on readings. Exposure to the development of German civilization and culture.",GER 201
MTH 557,"Financial Derivatives & Risk Management","This course provides a theoretical foundation for the pricing of contingent claims and for designing risk-management strategies. It covers option pricing models, hedging techniques, and trading strategies. It also includes portfolio insurance, value-at-risk measure, multistep binomial trees to value American options, interest rate options, and other exotic options.",MBA 620
ECE 510,"Microwave Circuits for Communications","Microwave transmission, planar transmission lines, microwave components and filters. Microwave tubes, microwave communication, radar systems, and electronic support measures.",ECE 507
MTH 558,"Financial Mathematics I-Discrete Model","Discrete methods in financial mathematics. Topics include introduction to financial derivatives, discrete probability theory, discrete stochastic processes (Markov chain, random walk, and Martingale), binomial tree models for derivative pricing and computational methods (European and American options), forward and futures, and interest rate derivatives.",MTH 411
MTH 559,"Financial Mathematics II-Continuous Model","Continuous methods in financial mathematics. Topics include review of continuous probability theory, Ito's Lemma, the Black-Scholes partial differential equation, option pricing via partial differential equations, analysis of exotic options, local and stochastic volatility models, American options, fixed income and stopping time. Computational methods are introduced.",MTH 558
MPA 561,"Nonprofit & Community Leadership","This course surveys the generalized body of knowledge common to all nonprofit and community organizations, distinguishing them from governmental and for-profit entities. Emphasis placed upon an overall understanding of the nonprofit and community sector and its emerging role in society.",
EDT 554L,"Science Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching science to students in grades seven to 12.",
MPA 562,"Strategic Planning for Nonprofit & Community Organizations","For nonprofit and community organizations to stay relevant and competitive in an increasingly complex environment, such organizations must continually vision, plan, develop, and implement long-range strategic plans. This course explores and analyzes, step-by-step, the various requirements, components, and challenges in developing a strategic plan for nonprofit and community organizations.",MPA 561
MTH 555,"Numerical Analysis I","Solutions of nonlinear equations, Newton's methods, fixed point methods, solutions of linear equations, LU decomposition, iterative improvement, QR decomposition, SV decomposition.",CPS 132,CPS 150,MTH 310
MTH 556,"Numerical Analysis II","Interpolating functions, numerical differentiation, numerical integration including Gaussian quadrature, numerical solutions of differential equations.",CPS 132,CPS 150,MTH 219
GER 201,"Intermediate German I","Systematic grammar review. Increased use of the language in written exercises and classroom discussions based on readings. Exposure to the development of German civilization and culture. Successful completion of this course includes the demonstration of the proficiency level required by the College of Arts and Sciences' Liberal Studies Curriculum.",GER 141
MTH 551,"Methods of Mathematical Physics","Linear transformations and matrix theory, linear integral equations, calculus of variations, eigenvalue problems.",MTH 403
MTH 552,"Methods of Applied Mathematics","Dimensional analysis and scaling, regular and singular perturbation methods with boundary layer analysis, the stability and bifurcation of equilibrium solutions, other asymptotic methods.",MTH 403
MPA 569,"Nonprofit Financial Management","An introduction to accounting and financial accounting as essential parts of an information system that supports economic and program decision making in nonprofit organizations.",
MPA 568,"The Responsive Nonprofit","An examination of how nonprofits' communications respond to internal organizational changes and innovations in data availability.",MPA 561,MPA 566
MPA 565,"Grantwriting","Explores the entire continuum of grant writing including the core components of a grant proposal, writing persuasive grant proposals, and proper formatting and submission of grant proposals.",
MPA 566,"Nonprofit Community Relations","This course examines how nonprofit organizations build and maintain relationships with a wide network of stakeholders including governments, other nonprofits, private sector, citizens and clients.",MPA 561
MPA 563,"NGO Management & Development","This course examines the management and function of non-governmental organizations with human-rights advocacy, humanitarian, and/or development missions.",
MPA 564,"Overview of Grant Funding","This course explores the grant writing environment that nonprofit and community organizations work in. Topics for discussion include an understanding of fundraising efforts and the grant writing continuum.",
VAD 395,"Advertising Design","Emphasis on print advertising, its creation and presentation. Concept development and attention to advertising layouts that carry motivating images and messages to consumers about products, services, or ideas.",
ECE 509,"Analysis of Linear Systems","State variable representation of linear systems and its relationship to the frequency domain representation using transfer functions and the Laplace transform. State transition matrix and solution of the state equation, stability, controllability, observability, state feedback and state observers are studied.",
CHM 463L,"Bioanalytical Chemistry Laboratory","Introduction to analytical methods in current use in biochemistry. Course will focus on separations and spectroscopic methods for the analysis of biomolecules.",CHM 201,CHM 201L,CHM 302
ECE 506,"Microelectronic Devices","Crystalline structure of matter, quantum mechanics and energy band theory; bulk properties of semiconductors; p-n and metal-semiconductor junctions; bipolar junction transistors; field-effect transistors; heterostructures; optical properties of semiconductors; devices, modeling and applications. Required background: ECE 304 or equivalent.",ECE 304
ECE 507,"Electromagnetic Fields I","Fundamental concepts, wave equation and its solutions; wave propagation, reflection and transmission; potential theory; construction of modal solutions; various electromagnetic theorems: concept of source, uniqueness, equivalence, induction and reciprocity theorems. Required background: ECE 333 or equivalent.",ECE 333
ECE 505,"Digital Signal Processing","A study of one-dimensional digital signal processing, including a review of continuous system analysis and sampling. Topics include z-transform techniques, digital filter design and analysis, and fast Fourier transform processing techniques. Required background: ECE 334 or equivalent course.",ECE 334
ECE 547,"Non-Linear Systems & Control","Introduction to nonlinear phenomena in dynamical systems. A study of the major techniques of nonlinear system analysis including phase plane analysis and Lyapunov stability theory. Application of the analytical techniques to control system design including feedback linearization, backstepping and sliding mode control.",ECE 509
ECE 545,"Automatic Control","Study of mathematical methods for control systems and analysis of performance characteristics and stability. Design topics include pole-placement, root locus, and frequency domain techniques. The student will also learn feedback loop sensitivity, basic loopshaping, performance bounds and other introductory aspects of robust control. The required background for this course is ECE 415 or equivalent. :.",ECE 415
CEE 494,"Honors Thesis","Selection, design, investigation, and completion of an independent, original research study resulting in a document prepared for submission as a potential publication and a completed undergraduate thesis. Restricted to students in University Honors Program.",CEE 493
CEE 493,"Honors Thesis","Selection, design, investigation, and completion of an independent, original research study resulting in a document prepared for submission as a potential publication and a completed undergraduate thesis. Restricted to students in University Honors Program.",
CEE 499,"Special Problems in Civil Engineering","Particular assignments to be arranged and approved by chairperson of the department. Departmental elective.",
HST 477,"Honors Thesis Project","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
CEE 498,"Research & Innovation Laboratory","Students participate in (1) selection and design, (2) investigation and data collection, (3) analysis and (4) presentation of a research project. Research can include, but is not limited to, developing an experiment, collecting and analyzing data, surveying and evaluating literature, developing new tools and techniques including software, and surveying, brainstorming and evaluating engineering solutions and engineering designs. Proposals from teams of students will be considered.",
HST 478,"Honors Thesis Project","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
CPS 352,"Concepts and Implementation of Programming Languages","Study of programming language concepts through the implementation of interpreters and assessment of the conceptual differences in the resulting languages. Concepts covered include syntax and semantics, regular and context-free grammars, parsing, binding, scope, parameter passing, lazy evaluation, types, currying, and continuations. A comparative survey of the imperative, functional, logical, and object-oriented paradigms of programming is presented.",CPS 350
CPS 353,"Numerical Methods I","Study of the algorithms of numerical mathematics with emphasis on interpolation, the solution of nonlinear equations, and linear systems of equations including matrix methods; analysis of errors associated with the algorithms.",CPS 132,CPS 150,MTH 169
CPS 350,"Data Structures & Algorithms","Dynamic nonlinear data structures including trees, binary trees, search trees, balanced search trees, priority queues, and graphs, with an emphasis on their implementation, uses, and associated algorithms. Analysis of the computational complexity of algorithms related to these structures.",CPS 151
CHM 477,"Honors Thesis Project","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
CHM 478,"Honors Thesis Project","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
DPT 973L,"Skills Laboratory: Neurology I","This course is designed to assist the student with the development of clinical skills and reasoning essential for the assessment and treatment of patients with neurological pathologies. Therapeutic procedures and protocols appropriate for this patient population will be taught with special considerations regarding patient safety.",
